priority,pack_id,year,make,model,trim,powertrain,oem_family,schedule_kind,segment,tier,manual_share_policy,msrp_note,status,ymm
"1","bmw-3-series-2025-330i","2025","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2025 BMW 3 Series"
"2","bmw-3-series-2025-330e","2025","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2025 BMW 3 Series"
"3","bmw-3-series-2025-m340i","2025","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2025 BMW 3 Series"
"4","bmw-3-series-2024-330i","2024","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2024 BMW 3 Series"
"5","bmw-3-series-2024-330e","2024","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2024 BMW 3 Series"
"6","bmw-3-series-2024-m340i","2024","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2024 BMW 3 Series"
"7","bmw-3-series-2023-330i","2023","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2023 BMW 3 Series"
"8","bmw-3-series-2023-330e","2023","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2023 BMW 3 Series"
"9","bmw-3-series-2023-m340i","2023","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2023 BMW 3 Series"
"10","bmw-3-series-2022-330i","2022","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2022 BMW 3 Series"
"11","bmw-3-series-2022-330e","2022","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2022 BMW 3 Series"
"12","bmw-3-series-2022-m340i","2022","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2022 BMW 3 Series"
"13","bmw-3-series-2021-330i","2021","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2021 BMW 3 Series"
"14","bmw-3-series-2021-330e","2021","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2021 BMW 3 Series"
