priority,pack_id,year,make,model,trim,powertrain,oem_family,schedule_kind,segment,manual_share_policy,retry_kind,v1_blocked_reason
"189","bmw-i4-2022-edrive35","2022","BMW","i4","eDrive35","","bmw","ev_simplified","luxury_ev","shared_within_model_year","tier_d","No public US-market extractable EV maintenance PDF found; BMW EV owner-manual content is portal/app-only for this model year."
"190","bmw-i4-2022-edrive40","2022","BMW","i4","eDrive40","","bmw","ev_simplified","luxury_ev","shared_within_model_year","tier_d","No public US-market extractable EV maintenance PDF found; BMW EV owner-manual content is portal/app-only for this model year."
"191","bmw-i4-2022-xdrive40","2022","BMW","i4","xDrive40","","bmw","ev_simplified","luxury_ev","shared_within_model_year","tier_d","No public US-market extractable EV maintenance PDF found; BMW EV owner-manual content is portal/app-only for this model year."
"199","bmw-ix-2022-xdrive50","2022","BMW","iX","xDrive50","","bmw","ev_simplified","luxury_ev","shared_within_model_year","tier_d","No public US-market extractable EV maintenance PDF found; BMW EV owner-manual content is portal/app-only for this model year."
"200","bmw-ix3-2023-m-sport","2023","BMW","iX3","M Sport","","bmw","ev_simplified","luxury_ev","shared_with_x3_schedule","tier_d","No public US-market extractable EV maintenance PDF found; BMW EV owner-manual content is portal/app-only for this model year."
"201","bmw-ix3-2022-m-sport","2022","BMW","iX3","M Sport","","bmw","ev_simplified","luxury_ev","shared_with_x3_schedule","tier_d","No public US-market iX3 maintenance PDF found; iX3 was not offered as a normal US-market model and the supplied sharing policy cannot substitute the X3 combustion schedule."
"216","mercedes-benz-c-class-2025-c300","2025","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"217","mercedes-benz-c-class-2025-c300-4matic","2025","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"218","mercedes-benz-c-class-2025-c350e","2025","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"219","mercedes-benz-c-class-2024-c300","2024","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"220","mercedes-benz-c-class-2024-c300-4matic","2024","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"221","mercedes-benz-c-class-2024-c350e","2024","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"222","mercedes-benz-c-class-2023-c300","2023","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"223","mercedes-benz-c-class-2023-c300-4matic","2023","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"224","mercedes-benz-c-class-2023-c350e","2023","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"225","mercedes-benz-c-class-2022-c300","2022","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"226","mercedes-benz-c-class-2022-c300-4matic","2022","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"227","mercedes-benz-c-class-2022-c350e","2022","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
