priority,pack_id,year,make,model,trim,powertrain,segment,oem_family,schedule_kind,source_tier,primary_pdf_url,alternate_pdf_urls,manual_type,maintenance_section_title,manual_share_applied,shared_from_pack_id,estimated_pdf_pages,http_status,content_type,sha256_if_downloaded,confidence,notes,blocked_reason
"189","bmw-i4-2022-edrive35","2022","BMW","i4","eDrive35","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"190","bmw-i4-2022-edrive40","2022","BMW","i4","eDrive40","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"191","bmw-i4-2022-xdrive40","2022","BMW","i4","xDrive40","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"199","bmw-ix-2022-xdrive50","2022","BMW","iX","xDrive50","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"200","bmw-ix3-2023-m-sport","2023","BMW","iX3","M Sport","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"201","bmw-ix3-2022-m-sport","2022","BMW","iX3","M Sport","","luxury_ev","bmw","ev_simplified","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public US-market BMW maintenance PDF with verified applicability to this exact EV model/year was found."
"216","mercedes-benz-c-class-2025-c300","2025","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"217","mercedes-benz-c-class-2025-c300-4matic","2025","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"218","mercedes-benz-c-class-2025-c350e","2025","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"219","mercedes-benz-c-class-2024-c300","2024","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"220","mercedes-benz-c-class-2024-c300-4matic","2024","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"221","mercedes-benz-c-class-2024-c350e","2024","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"222","mercedes-benz-c-class-2023-c300","2023","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"223","mercedes-benz-c-class-2023-c300-4matic","2023","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"224","mercedes-benz-c-class-2023-c350e","2023","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"225","mercedes-benz-c-class-2022-c300","2022","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"226","mercedes-benz-c-class-2022-c300-4matic","2022","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"227","mercedes-benz-c-class-2022-c350e","2022","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"228","mercedes-benz-c-class-2021-c300","2021","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"229","mercedes-benz-c-class-2021-c300-4matic","2021","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"230","mercedes-benz-c-class-2021-c350e","2021","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"231","mercedes-benz-c-class-2020-c300","2020","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"232","mercedes-benz-c-class-2020-c300-4matic","2020","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"233","mercedes-benz-c-class-2020-c350e","2020","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"234","mercedes-benz-c-class-2019-c300","2019","Mercedes-Benz","C-Class","C300","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"235","mercedes-benz-c-class-2019-c300-4matic","2019","Mercedes-Benz","C-Class","C300 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"236","mercedes-benz-c-class-2019-c350e","2019","Mercedes-Benz","C-Class","C350e","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"237","mercedes-benz-e-class-2024-e350","2024","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"238","mercedes-benz-e-class-2024-e350-4matic","2024","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"239","mercedes-benz-e-class-2024-e450","2024","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"240","mercedes-benz-e-class-2023-e350","2023","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"241","mercedes-benz-e-class-2023-e350-4matic","2023","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
